"id";"Nome";"RG";"CPF";"endereco_fk"
775;"Gael Aparecido Calado";"035053498";"65.381.362.0-17";132
776;"Maria Cecília Oliveira  Fontes ";"768883616";"51.019.628.3-85";96
777;"Maria Clara Martins  Castro";"380745599";"15.525.913.1-73";134
778;"Arthur Palmito Palmito";"866419284";"22.555.727.4-78";89
779;"Laura  Queirós  Matos";"439891486";"47.859.907.5-35";11
780;"Maria Julia  Ribeiro  Matos";"631996608";"91.181.061.6-59";96
781;"Luiza Martins  Macedo";"716094397";"83.277.278.4-99";26
782;"Samuel  Cardoso  Costa";"617156278";"87.843.789.3-79";124
783;"Maria Julia dos Santos  Castro";"793677820";"83.590.266.4-12";124
784;"Alice Almeida Oliveira";"712871301";"90.793.559.5-35";150
785;"Bernardo  Castro  Brasil";"810930037";"57.210.806.6-24";25
786;"Maria Clara Mesquita  Matos";"441189257";"54.146.608.1-55";105
787;"Laura  Campos  Fontes ";"912148236";"53.405.287.5-75";35
788;"Samuel Aparecido Arake";"902621651";"52.185.951.4-96";4
789;"Guilherme  Pedreira Silva";"574413770";"03.184.308.5-93";103
790;"Helena Mesquita Pinhais";"717357000";"22.461.405.4-95";165
791;"Helena Arake Arake";"222212126";"31.186.965.7-93";89
792;"Arthur  Bahiense Pinhais";"550169931";"97.698.388.1-00";149
793;"Laura  Fontes   Barros";"692267541";"20.740.886.5-09";142
794;"Gael  Siqueira  Campos";"623969565";"07.119.332.7-59";116
795;"Gael  Magalhães   Campos";"182876230";"63.696.444.6-34";174
796;"Maria Clara  Souza  Brasil";"976619890";"70.255.282.4-99";77
797;"Arthur  Brasil  Castro";"513447735";"51.070.580.5-34";153
798;"Ronaldo dos Santos  Barros";"079321930";"60.342.397.8-93";1
799;"Lucas  Queirós  Matos";"010829792";"18.186.459.7-33";71
800;"Theo Aparecido Almeida";"214590793";"00.556.060.7-78";72
801;"João Miguel  Souza  Campos";"931106502";"59.420.206.8-68";10
802;"Gael  Magalhães   Magalhães ";"049986082";"43.701.177.5-45";130
803;"Luiza  Queirós  Siqueira";"689600101";"37.310.181.0-06";106
804;"Maria  Queirós  Azevedo";"755970466";"89.146.854.1-36";99
805;"Maria Clara Silva  Brasil";"724247192";"64.367.083.6-00";153
806;"Karla  Teixeira Arake";"182658826";"20.447.521.1-57";189
807;"Valentina  Siqueira Aparecido";"856862848";"69.677.954.6-41";33
808;"João Miguel  Magalhães  Martins";"228950228";"77.220.294.1-07";52
809;"Gabriel Sequeira  Guimarães ";"507909077";"13.671.880.7-19";157
810;"Maria Clara Rodrigues  Pedreira";"018452456";"47.815.712.5-41";43
811;"Laura Almeida  Ribeiro";"020780636";"18.629.525.3-91";155
812;"Guilherme  Castro  Pedreira";"284684805";"62.851.024.9-89";52
813;"Gabriela Kubitcheck  Rocha";"511017899";"61.768.442.8-40";126
814;"Bernardo Mesquita  Brasil";"165755740";"56.753.486.7-36";144
815;"Raquel Aparecido  Azevedo";"797438229";"71.069.803.5-93";29
816;"Ana  Campos  Castro";"392801869";"10.285.034.7-68";50
817;"Luiza Silva  Teixeira";"974569317";"64.921.457.0-71";31
818;"Arthur  Brasil  Costa";"521986108";"59.094.668.0-69";138
819;"Maria Cecília Sequeira  Macedo";"449785367";"16.041.282.9-51";17
820;"Ronaldo  Magalhães  Silva";"029368969";"04.628.861.3-96";193
821;"Ronaldo  Souza Calado";"566181706";"44.275.565.3-99";144
822;"Maria Cecília  Azevedo  Rocha";"823839946";"98.521.522.5-01";170
823;"Ronaldo  Correia  Costa";"964044593";"73.945.012.1-83";85
824;"Samuel  Campos  Rocha";"392640038";"24.882.933.7-17";143
825;"Ronaldo  Fontes   Castro";"033674062";"21.070.183.2-13";120
826;"Bernardo Aparecido Rodrigues";"249377652";"49.665.248.1-12";197
827;"Sophia  Serra  Ribeiro";"529200495";"76.229.011.1-56";79
828;"Laura Mesquita Silva";"955375761";"10.625.415.5-34";41
829;"Tamires Rodrigues  Macedo";"409731425";"72.962.141.8-01";27
830;"Miguel Rodrigues  Siqueira";"150418782";"89.104.952.3-89";10
831;"Gabriel  Rocha  Guimarães ";"279699246";"77.060.950.1-38";184
832;"Valentina  Braga  Matos";"754278512";"46.212.896.9-94";15
833;"Tamires  Matos  Cardoso";"680511960";"36.150.907.5-13";115
834;"Raquel  Siqueira Almeida";"597792580";"19.074.487.5-15";75
835;"Raquel dos Santos  Campos";"240512310";"60.720.580.6-73";148
836;"Marcela Calado  Fontes ";"835666559";"59.553.480.4-65";164
837;"Arthur  Souza  Magalhães ";"635777066";"61.613.759.5-61";200
838;"Marcela  Magalhães  Martins";"738360114";"04.547.103.5-60";39
839;"Marcela Mesquita  Azevedo";"768205817";"15.920.436.5-68";139
840;"Heitor  Souza  Magalhães ";"381246104";"27.592.007.7-71";99
841;"Heloísa Aparecido  Bahiense";"254524178";"67.892.757.2-75";33
842;"Ana  Castro  Matos";"981195056";"06.809.757.6-48";19
843;"Miguel Palmito  Matos";"307356295";"54.002.497.3-79";52
844;"Aline Palmito  Bahiense";"530999306";"30.915.514.7-39";126
845;"Raquel  Ribeiro  Costa";"314219929";"17.425.454.9-12";165
846;"Heitor  Souza Rodrigues";"886158392";"13.869.971.7-89";68
847;"Vanessa  Ribeiro Oliveira";"749315357";"52.534.576.5-17";36
848;"Raquel Pinhais Sequeira";"338000105";"83.707.952.7-65";148
849;"Laura Sequeira  Siqueira";"249260842";"21.105.704.6-61";85
850;"Maria Clara Aparecido  Rocha";"642866850";"05.889.761.2-77";124
851;"Theo  Ribeiro Kubitcheck";"924041611";"36.331.413.8-99";197
852;"Bernardo Almeida Arake";"332185279";"66.644.345.4-94";199
853;"Sophia Almeida  Campos";"565149397";"51.099.239.7-69";42
854;"Thiago  Fontes   Magalhães ";"540629131";"29.729.319.1-36";80
855;"Sophia Silva  Matos";"281036332";"15.867.297.4-72";146
856;"Maria Calado  Souza";"641707500";"14.447.229.3-65";52
857;"Bernardo  Correia Rodrigues";"892812793";"93.144.594.1-74";137
858;"Luiza Pinhais Oliveira";"724907912";"61.233.349.4-24";111
859;"Bernardo  Campos  Fontes ";"053869851";"94.494.554.6-79";63
860;"Luiza  Macedo Palmito";"267902244";"76.946.866.5-09";161
861;"Vanessa Aparecido  Azevedo";"927610302";"38.995.684.4-76";124
862;"Raquel  Brasil  Macedo";"044104174";"93.436.162.8-02";143
863;"Gabriel  Ribeiro  Pedreira";"261973400";"04.452.189.7-93";113
864;"João Miguel  Teixeira Almeida";"211393551";"00.850.341.9-20";169
865;"Maria Cecília  Campos  Serra";"963221510";"52.295.522.2-09";168
866;"Marcelo  Matos  Magalhães ";"520573227";"74.356.415.8-61";66
867;"Marcelo  Castro Martins";"797737822";"99.623.044.9-03";5
868;"Thiago Aparecido Aparecido";"878512043";"72.347.905.8-35";24
869;"Vanessa Palmito  Pedreira";"537971536";"18.421.855.6-15";51
870;"Theo  Guimarães   Bahiense";"618669163";"79.767.510.6-95";116
871;"Heitor  Magalhães  Calado";"667819499";"33.212.309.0-98";12
872;"Miguel Silva  Bahiense";"425483746";"56.304.076.6-97";72
873;"Heloísa Oliveira  Siqueira";"974018164";"32.836.105.4-67";5
874;"Davi  Magalhães   Bahiense";"749087219";"57.746.880.7-57";92
875;"Heitor  Cardoso  Ribeiro";"497422413";"32.798.041.7-25";125
876;"Vanessa  Bahiense  Magalhães ";"463888586";"67.065.996.0-34";153
877;"Gabriela  Ribeiro  Matos";"646266878";"85.065.108.5-34";179
878;"Gael  Magalhães   Rocha";"587096744";"04.402.502.2-88";17
879;"Miguel  Braga  Bahiense";"586963590";"46.620.558.7-80";138
880;"Arthur Palmito  Queirós";"257352051";"77.362.851.8-51";135
881;"Maria Alice  Matos Mesquita";"359058110";"62.077.697.2-92";20
882;"Sophia Martins  Bahiense";"542313698";"98.442.575.6-88";123
883;"José dos Santos  Queirós";"648407337";"18.627.608.9-32";168
884;"Marcela Arake  Macedo";"089372408";"62.632.661.0-65";23
885;"José  Rocha  Ribeiro";"838133985";"28.127.719.3-06";188
886;"Maria Julia  Castro  Campos";"143882753";"92.184.909.5-80";61
887;"Heitor  Magalhães   Pedreira";"555179319";"79.927.370.5-42";54
888;"Samuel  Souza  Brasil";"657579630";"38.558.762.8-11";130
889;"Maria Aparecido  Macedo";"495412823";"05.293.957.5-32";136
890;"Ana  Macedo  Matos";"309246704";"03.741.740.8-08";157
891;"Viviane  Cardoso  Guimarães ";"387984709";"79.766.676.6-72";6
892;"Heitor Sequeira  Barros";"188837789";"13.495.127.4-41";103
893;"Marcela  Rocha Mesquita";"529190742";"18.385.586.7-78";91
894;"Gabriel  Cardoso  Bahiense";"892787980";"82.159.217.7-13";145
895;"Samuel  Barros  Correia";"333531268";"81.951.793.9-71";128
896;"José  Souza  Souza";"226690779";"86.878.948.3-78";82
897;"Heloísa  Guimarães   Ribeiro";"347238620";"26.915.848.8-61";130
898;"Alice Pinhais  Souza";"832926203";"40.818.784.1-11";145
899;"Vanessa  Teixeira Pinhais";"442202665";"03.148.692.0-92";98
900;"Maria Julia  Costa  Barros";"375121818";"64.006.495.5-93";196
901;"Eduardo Aparecido Martins";"863875353";"28.904.771.7-27";5
902;"Gael  Brasil  Cardoso";"595766417";"60.482.932.4-37";187
903;"Ronaldo  Bahiense  Guimarães ";"738981872";"02.857.369.5-18";135
904;"Karla  Rocha  Costa";"220964872";"99.986.472.5-01";46
905;"Davi  Magalhães   Brasil";"231058977";"83.653.779.5-17";14
906;"Luiza Aparecido  Ribeiro";"416026282";"06.825.758.4-75";184
907;"Samuel  Magalhães  Arake";"125287835";"68.763.708.9-88";66
908;"Thiago  Serra  Costa";"567161778";"35.502.507.3-94";46
909;"Arthur  Serra Aparecido";"781853702";"24.360.952.3-15";47
910;"Maria Silva  Pedreira";"297052860";"62.958.405.2-62";190
911;"Lucas  Barros Calado";"317658499";"87.095.247.8-99";157
912;"Heloísa  Brasil Pinhais";"419343809";"67.498.136.7-79";100
913;"Arthur Silva  Correia";"561282199";"66.773.383.8-71";19
914;"Heitor Aparecido  Macedo";"281589637";"44.700.522.2-04";52
915;"Sophia  Brasil  Guimarães ";"622904154";"76.741.848.3-10";19
916;"Valentina Sequeira  Macedo";"536321948";"92.006.506.6-97";65
917;"Raquel Palmito  Braga";"098215350";"24.863.275.6-30";152
918;"Lucas Sequeira  Correia";"510976280";"34.682.577.5-70";132
919;"Viviane  Magalhães   Pedreira";"732754097";"53.236.214.1-34";36
920;"Maria Alice Sequeira  Ribeiro";"907789420";"78.051.396.4-17";182
921;"Maria Clara  Guimarães   Queirós";"422760586";"49.658.377.5-46";191
922;"Valentina  Cardoso Kubitcheck";"966162161";"13.307.224.8-58";1
923;"Marcelo  Guimarães   Barros";"055854443";"79.671.211.3-55";155
924;"José  Souza  Azevedo";"823205899";"07.289.925.6-93";84
925;"Miguel dos Santos  Rocha";"232923178";"97.365.616.5-62";4
926;"Ronaldo  Souza  Castro";"007198790";"72.458.225.1-76";51
927;"Viviane  Braga  Fontes ";"440547516";"76.967.030.7-63";30
928;"Marcela  Magalhães   Campos";"979643814";"36.337.001.9-45";160
929;"Viviane Mesquita  Ribeiro";"730180604";"17.984.747.3-81";150
930;"Helena  Brasil Almeida";"787594136";"77.536.225.6-50";167
931;"Lucas  Matos Aparecido";"194563705";"78.398.299.0-98";129
932;"Marcelo Martins  Souza";"215256986";"16.491.273.1-65";61
933;"Gabriela  Matos Rodrigues";"791060962";"83.165.446.6-24";117
934;"Maria Clara  Pedreira  Braga";"764954383";"66.196.708.4-02";111
935;"Thiago  Castro  Fontes ";"271389252";"94.277.665.7-52";141
936;"Helena  Azevedo  Costa";"146521766";"60.576.324.0-89";84
937;"Maria Alice Calado  Magalhães ";"204047350";"54.192.856.3-72";44
938;"Miguel Pinhais  Queirós";"542323808";"62.737.640.6-91";190
939;"Valentina Silva  Fontes ";"271803083";"35.806.778.6-15";109
940;"Maria Cecília  Costa Palmito";"466399683";"32.618.776.7-55";147
941;"Maria Clara  Barros  Fontes ";"043220141";"68.146.489.3-04";35
942;"Gabriela Almeida Almeida";"677674405";"66.441.413.1-35";101
943;"Maria Clara Kubitcheck  Correia";"816297515";"03.410.461.1-71";73
944;"Tamires  Siqueira  Barros";"048940637";"40.575.940.3-31";59
945;"Marcelo Martins  Costa";"737919042";"96.962.653.0-51";3
946;"Laura  Castro Silva";"417840977";"19.218.106.4-14";151
947;"Eduardo  Costa  Correia";"364278019";"79.361.597.2-20";72
948;"Marcelo Martins  Queirós";"560685754";"83.340.999.9-86";157
949;"Viviane dos Santos Silva";"407341765";"30.926.214.4-00";182
950;"Eduardo dos Santos  Correia";"379328299";"29.020.334.1-60";11
951;"Karla  Macedo  Queirós";"432291635";"26.759.376.3-28";106
952;"Ana  Castro  Magalhães ";"835442645";"92.345.883.1-07";38
953;"Karla Kubitcheck  Macedo";"841136243";"70.055.004.5-60";161
954;"Theo Oliveira Arake";"002873635";"55.058.687.9-19";192
955;"Bernardo Oliveira Rodrigues";"190249734";"98.138.667.7-50";9
956;"Davi Martins  Siqueira";"106207876";"82.661.902.3-24";182
957;"Maria Clara Rodrigues Rodrigues";"797027476";"53.579.962.0-77";185
958;"Helena Palmito  Pedreira";"200209720";"53.650.488.7-69";186
959;"Eduardo  Costa Mesquita";"713228990";"61.460.450.1-84";145
960;"Gael Kubitcheck  Campos";"972370182";"56.625.623.4-96";117
961;"Bernardo  Guimarães   Campos";"044226789";"73.770.549.8-68";168
962;"Eduardo  Ribeiro Silva";"704229425";"51.591.364.7-29";84
963;"Ronaldo  Macedo Mesquita";"563726591";"24.293.524.3-00";172
964;"Bernardo Kubitcheck  Matos";"526111304";"67.920.471.5-30";79
965;"Alice  Guimarães   Fontes ";"739712707";"17.799.401.3-72";19
966;"Gael  Serra  Brasil";"875338212";"26.028.490.8-11";15
967;"Maria Clara  Azevedo Pinhais";"042287266";"54.546.561.3-42";174
968;"Guilherme  Queirós Pinhais";"475334844";"70.756.073.8-78";87
969;"Guilherme  Guimarães   Braga";"384838179";"29.655.864.3-13";46
970;"Alice  Castro Arake";"883133192";"80.721.567.6-22";85
971;"Guilherme Oliveira Mesquita";"944148210";"99.013.476.1-62";189
972;"Valentina Kubitcheck  Queirós";"616611348";"30.627.740.4-28";177
973;"Valentina  Serra  Barros";"330862425";"78.649.043.6-90";125
974;"Arthur  Macedo  Matos";"924751956";"23.963.160.3-23";57
975;"Guilherme Pinhais Silva";"325764785";"98.635.663.3-05";74
976;"Gabriela  Matos Calado";"516228755";"42.732.434.9-22";128
977;"Gabriel Silva  Siqueira";"299346568";"93.365.605.5-53";176
978;"Marcela  Queirós Kubitcheck";"582807660";"12.593.792.4-76";149
979;"Samuel  Magalhães   Barros";"482775186";"57.835.693.6-59";26
980;"Sophia  Teixeira  Correia";"125982860";"90.786.938.3-18";134
981;"Maria Clara  Matos  Braga";"858901788";"56.312.003.4-89";82
982;"Davi Martins  Ribeiro";"594860521";"71.222.498.6-20";15
983;"Helena Aparecido  Fontes ";"046719341";"89.775.273.2-67";139
984;"Marcelo Kubitcheck  Cardoso";"786649963";"14.864.936.5-98";61
985;"Vanessa  Macedo Mesquita";"332777037";"49.691.091.6-25";166
986;"Laura  Macedo  Serra";"584790058";"47.345.850.9-42";75
987;"João Miguel  Serra  Campos";"827872882";"00.692.926.1-15";113
988;"Marcela  Brasil  Braga";"256611439";"33.559.531.5-91";189
989;"Thiago  Macedo  Ribeiro";"886053483";"98.538.192.6-45";130
990;"Tamires Oliveira  Queirós";"168555329";"76.115.724.8-39";29
991;"Maria Clara Aparecido Aparecido";"504601454";"07.574.394.7-09";69
992;"Karla Silva Silva";"446666229";"55.190.087.9-27";196
993;"Sophia Sequeira Rodrigues";"310221874";"97.381.995.0-75";91
994;"Thiago  Magalhães   Costa";"915068921";"29.012.437.5-32";169
995;"Heitor  Siqueira Silva";"099689017";"93.164.192.4-81";18
996;"Viviane  Matos  Braga";"424431138";"88.075.676.0-11";174
997;"José  Castro  Campos";"655123938";"63.694.120.6-13";64
998;"Guilherme  Siqueira  Matos";"668827201";"62.456.749.6-40";26
999;"Eduardo  Guimarães  Rodrigues";"045585953";"94.755.352.9-76";120
